_time,_value,_field
2023-06-27T12:00:00Z,52.4943235,latitude
2023-06-27T12:03:00Z,52.4943705,latitude
2023-06-27T12:04:00Z,52.4943952,latitude
2023-06-27T12:05:00Z,52.4943817,latitude
2023-06-27T12:06:00Z,52.4943929,latitude
2023-06-27T12:07:00Z,52.4943909,latitude
2023-06-27T12:08:00Z,52.4944052,latitude
2023-06-27T12:10:00Z,52.4944238,latitude
2023-06-27T12:11:00Z,52.4943554,latitude
2023-06-27T12:12:00Z,52.4942854,latitude
2023-06-27T12:16:00Z,52.4944302,latitude
2023-06-27T12:17:00Z,52.4944159,latitude
2023-06-27T12:18:00Z,52.4944353,latitude
2023-06-27T12:19:00Z,52.4943542,latitude
2023-06-27T12:20:00Z,52.494379,latitude
2023-06-27T12:00:00Z,0.7167917,longitude
2023-06-27T12:03:00Z,0.7166295,longitude
2023-06-27T12:04:00Z,0.7166379,longitude
2023-06-27T12:05:00Z,0.7165911,longitude
2023-06-27T12:06:00Z,0.7165963,longitude
2023-06-27T12:07:00Z,0.7165782,longitude
2023-06-27T12:08:00Z,0.7166274,longitude
2023-06-27T12:10:00Z,0.7165727,longitude
2023-06-27T12:11:00Z,0.7168433,longitude
2023-06-27T12:12:00Z,0.7169106,longitude
2023-06-27T12:16:00Z,0.7165527,longitude
2023-06-27T12:17:00Z,0.7165559,longitude
2023-06-27T12:18:00Z,0.7166495,longitude
2023-06-27T12:19:00Z,0.7166965,longitude
2023-06-27T12:20:00Z,0.716637,longitude
2023-06-27T12:00:00Z,0.305,speed
2023-06-27T12:03:00Z,0.351,speed
2023-06-27T12:04:00Z,0.509,speed
2023-06-27T12:05:00Z,0.57,speed
2023-06-27T12:06:00Z,0.373,speed
2023-06-27T12:07:00Z,0.349,speed
2023-06-27T12:08:00Z,0.599,speed
2023-06-27T12:10:00Z,1.556,speed
2023-06-27T12:11:00Z,1.126,speed
2023-06-27T12:12:00Z,0.644,speed
2023-06-27T12:16:00Z,0.27,speed
2023-06-27T12:17:00Z,0.651,speed
2023-06-27T12:18:00Z,0.891,speed
2023-06-27T12:19:00Z,0.912,speed
2023-06-27T12:20:00Z,0.327,speed
