#datatype measurement,dateTime:11/02/2006,double,ignored,double,double,double
name,Date,Close,Volume,Open,High,Low
gold,11/03/2023,176.65,79829250,174.24,176.82,173.35
gold,11/02/2023,177.57,77334750,175.52,177.78,175.46
gold,11/01/2023,173.97,56934910,171.00,174.23,170.12
gold,10/31/2023,170.77,44846020,169.35,170.90,167.90
gold,10/30/2023,170.29,51130960,169.02,171.17,168.87
gold,10/27/2023,168.22,58499130,166.91,168.96,166.83
gold,10/26/2023,166.89,70625260,170.37,171.3775,165.67
gold,10/25/2023,171.10,57156960,171.88,173.06,170.65
gold,10/24/2023,173.44,43816640,173.05,173.67,171.45
gold,10/23/2023,173.00,55980110,170.91,174.01,169.93
gold,10/20/2023,172.88,64244030,175.31,175.42,172.64
gold,10/19/2023,175.46,59302860,176.04,177.84,175.19
gold,10/18/2023,175.84,54764380,175.58,177.575,175.11
gold,10/17/2023,177.15,57549350,176.645,178.42,174.80
gold,10/16/2023,178.72,52516980,176.75,179.075,176.51
gold,10/13/2023,178.85,51456080,181.42,181.93,178.14
gold,10/12/2023,180.71,56743120,180.07,182.34,179.04
gold,10/11/2023,179.80,47551100,178.20,179.85,177.60
gold,10/10/2023,178.39,43698020,178.10,179.72,177.95
gold,10/09/2023,178.99,42390770,176.81,179.05,175.80
gold,10/06/2023,177.49,57266680,173.80,177.99,173.18
gold,10/05/2023,174.91,48527920,173.79,175.45,172.68
